,Address,Latitude,Longitude,MLS #,Price,Raw Address
57," 159 RUE BRIAN GATINEAU (GATINEAU), QUEBEC",45.48285385,-75.64161688,#10506022,"$109,900.00"," 159 RUE BRIAN GATINEAU (GATINEAU), QUEBEC"
58," 77 RUE PEARSON  402 AYLMER (GATINEAU), QUEBEC",45.4021781,-75.85422535,#15650890,"$89,900.00"," 77 RUE PEARSON|#402 AYLMER (GATINEAU), QUEBEC"
59," 86 RUE FRONT  402 AYLMER (GATINEAU), QUEBEC",45.4020605,-75.85463855,#15195338,"$89,900.00"," 86 RUE FRONT|#402 AYLMER (GATINEAU), QUEBEC"
60," 84 RUE FRONT  203 AYLMER (GATINEAU), QUEBEC",45.4018816,-75.85446365,#15931189,"$89,900.00"," 84 RUE FRONT|#203 AYLMER (GATINEAU), QUEBEC"
61," 8 RUE DE CALUMET GATINEAU (GATINEAU), QUEBEC",45.4885177,-75.6039169,#11166601,"$179,900.00"," 8 RUE DE CALUMET GATINEAU (GATINEAU), QUEBEC"
62," 10 RUE DE MUNICH  14 AYLMER (GATINEAU), QUEBEC",45.43686745,-75.8032067,#12479813,"$179,900.00"," 10 RUE DE MUNICH|#14 AYLMER (GATINEAU), QUEBEC"
63," 71 RUE DU BEAUJOLAIS MASSON-ANGERS (GATINEAU), QUEBEC",45.5283035,-75.49004716,#23691008,"$199,998.00"," 71 RUE DU BEAUJOLAIS MASSON-ANGERS (GATINEAU), QUEBEC"
64," 81 RUE SANSCARTIER GATINEAU (GATINEAU), QUEBEC",45.47963,-75.63991749,#15442287,"$99,900.00"," 81 RUE SANSCARTIER GATINEAU (GATINEAU), QUEBEC"
65," 220 RUE DE DUBLIN  15 AYLMER (GATINEAU), QUEBEC",45.43629145,-75.8066204,#24746537,"$159,900.00"," 220 RUE DE DUBLIN|#15 AYLMER (GATINEAU), QUEBEC"
66," 701 BOUL. ST-JOSEPH  11 HULL (GATINEAU), QUEBEC",,,#23703239,"$167,900.00"," 701 BOUL. ST-JOSEPH|#11 HULL (GATINEAU), QUEBEC"
67," 499 RUE NOBERT  2 GATINEAU (GATINEAU), QUEBEC",45.5028165,-75.67365472,#12014152,"$149,500.00"," 499 RUE NOBERT|#2 GATINEAU (GATINEAU), QUEBEC"
68," 156 BOUL. DE LUCERNE  308 HULL (GATINEAU), QUEBEC",,,#18700980,"$179,000.00"," 156 BOUL. DE LUCERNE|#308 HULL (GATINEAU), QUEBEC"
69," 1462 BOUL. MALONEY E.  2 GATINEAU (GATINEAU), QUEBEC",,,#24423890,"$153,900.00"," 1462 BOUL. MALONEY E.|#2 GATINEAU (GATINEAU), QUEBEC"
70," 285 RUE LAURIER  105 HULL (GATINEAU), QUEBEC",45.4401553,-75.70845649,#26969327,"$149,900.00"," 285 RUE LAURIER|#105 HULL (GATINEAU), QUEBEC"
71," 285 RUE LAURIER  706 HULL (GATINEAU), QUEBEC",,,#27396482,"$151,900.00"," 285 RUE LAURIER|#706 HULL (GATINEAU), QUEBEC"
72," 149 RUE DE LA FABRIQUE  1 AYLMER (GATINEAU), QUEBEC",45.410547,-75.863684,#14694164,"$169,900.00"," 149 RUE DE LA FABRIQUE|#1 AYLMER (GATINEAU), QUEBEC"
73," 10 RUE DE LA FONDRIÈRE  8 HULL (GATINEAU), QUEBEC",45.4732325,-75.767396,#22202731,"$157,000.00"," 10 RUE DE LA FONDRIÈRE|#8 HULL (GATINEAU), QUEBEC"
74," 1134 MTÉE DE LA SOURCE CANTLEY, QUEBEC",,,#13400633,"$159,900.00"," 1134 MTÉE DE LA SOURCE CANTLEY, QUEBEC"
75," 245 RUE HENRI-MATISSE  13 GATINEAU (GATINEAU), QUEBEC",45.505919,-75.613573,#20129139,"$162,900.00"," 245 RUE HENRI-MATISSE|#13 GATINEAU (GATINEAU), QUEBEC"
76," 924 RUE DE L'OASIS  6 GATINEAU (GATINEAU), QUEBEC",45.492774,-75.687853,#26877784,"$184,900.00"," 924 RUE DE L'OASIS|#6 GATINEAU (GATINEAU), QUEBEC"
77," 285 RUE LAURIER  1702 HULL (GATINEAU), QUEBEC",45.4401553,-75.70845649,#21161865,"$139,500.00"," 285 RUE LAURIER|#1702 HULL (GATINEAU), QUEBEC"
78," 19 RUE CAMPEAU GATINEAU (GATINEAU), QUEBEC",45.4799865,-75.60912696,#10577312,"$179,900.00"," 19 RUE CAMPEAU GATINEAU (GATINEAU), QUEBEC"
79," 129 RUE DES MALARDS MASSON-ANGERS (GATINEAU), QUEBEC",45.5213325,-75.49186695,#19216454,"$199,900.00"," 129 RUE DES MALARDS MASSON-ANGERS (GATINEAU), QUEBEC"
